Percentage served,Time in ms
0,457.319
1,480.486
2,498.289
3,540.735
4,558.532
5,580.548
6,604.785
7,623.332
8,649.066
9,660.322
10,681.327
11,693.362
12,698.006
13,714.608
14,730.448
15,738.261
16,748.350
17,753.832
18,769.660
19,775.033
20,787.988
21,795.459
22,806.053
23,818.836
24,828.699
25,830.927
26,847.255
27,857.655
28,869.890
29,884.434
30,908.814
31,918.303
32,937.819
33,943.370
34,957.198
35,974.134
36,999.282
37,1021.596
38,1029.730
39,1049.056
40,1056.570
41,1087.263
42,1100.576
43,1105.520
44,1119.204
45,1123.369
46,1144.097
47,1155.947
48,1172.641
49,1188.464
50,1196.409
51,1205.542
52,1222.349
53,1234.936
54,1252.053
55,1270.353
56,1280.968
57,1296.641
58,1306.703
59,1325.271
60,1344.948
61,1351.782
62,1367.657
63,1375.529
64,1379.942
65,1392.578
66,1413.807
67,1423.058
68,1432.188
69,1460.011
70,1467.877
71,1486.539
72,1496.739
73,1506.175
74,1519.972
75,1532.400
76,1544.841
77,1552.486
78,1565.656
79,1582.347
80,1610.049
81,1630.192
82,1637.690
83,1647.388
84,1649.851
85,1658.181
86,1688.176
87,1707.452
88,1771.346
89,1787.986
90,1834.538
91,1848.660
92,1859.971
93,1876.816
94,1951.999
95,1998.104
96,2053.409
97,2075.368
98,2274.541
99,2646.229
100,3246.746
